MEDV	Linear Regression	SVM	Fold	SVM (1)	Linear Regression (1)	CRIM	ZN	INDUS	CHAS	NOX	RM	AGE	DIS	RAD	TAX	PTRATIO	B	LSTAT
15.1	16.928470787828537	15.238964397634277	1	13.572631116497561	17.711949753545014	6.96215	0.0	18.1	0.0	0.7	5.713	97.0	1.9265	24.0	666.0	20.2	394.43	17.11
10.5	6.437576131513573	12.701414715303319	1	11.165010240068368	6.6824135449055575	24.3938	0.0	18.1	0.0	0.7	4.652	100.0	1.4672	24.0	666.0	20.2	396.9	28.28
21.7	20.993765150128784	21.039166439169264	1	20.55477933227017	20.359253272626503	0.09378	12.5	7.87	0.0	0.524	5.889	39.0	5.4509	5.0	311.0	15.2	390.5	15.71
22.8	26.580913056306844	24.670926149058367	1	24.15165762229387	26.276532296289083	0.10084	0.0	10.01	0.0	0.547	6.715	81.6	2.6775	6.0	432.0	17.8	395.59	10.16
24.3	28.97228851316252	23.78522490965486	1	22.045933299870573	29.299062052981114	1.34284	0.0	19.58	0.0	0.605	6.066	100.0	1.7573	5.0	403.0	14.7	353.89	6.43
10.9	18.972337861474678	14.845711028217956	1	12.627611239052593	18.371616005667242	15.8744	0.0	18.1	0.0	0.671	6.545	99.1	1.5192	24.0	666.0	20.2	396.9	21.08
50.0	43.578072250228274	24.365254667147177	1	26.017944395764754	44.337043514757156	0.01501	90.0	1.21	1.0	0.401	7.923	24.8	5.885	1.0	198.0	13.6	395.52	3.16
22.0	28.006667179120797	26.285429173869936	1	26.518273842356926	27.074968178678304	0.11329	30.0	4.93	0.0	0.428	6.897	54.3	6.3361	6.0	300.0	16.6	391.25	11.38
22.8	23.898833259835616	22.20669364673865	1	21.674909147124072	23.92229376803675	0.09164	0.0	10.81	0.0	0.413	6.065	7.8	5.2873	4.0	305.0	19.2	390.91	5.52
22.1	25.99225748645948	23.392246188259	1	23.31251275295959	27.05178469238962	0.79041	0.0	9.9	0.0	0.544	6.122	52.8	2.6403	4.0	304.0	18.4	396.9	5.98
20.1	21.607460576734038	19.27358283799547	1	19.11335207088094	21.86640585275078	0.1396	0.0	8.56	0.0	0.52	6.167	90.0	2.421	5.0	384.0	20.9	392.69	12.33
15.0	20.942367880339845	20.973697300919813	1	20.536757848744397	18.67402459081818	0.22489	12.5	7.87	0.0	0.524	6.377	94.3	6.3467	5.0	311.0	15.2	392.52	20.45
20.2	15.437339913026584	18.22020733090008	1	18.029332427977135	16.457060163469095	0.80271	0.0	8.14	0.0	0.538	5.456	36.6	3.7965	4.0	307.0	21.0	288.99	11.69
13.1	15.229542228449297	16.061040971207248	1	15.824414202320273	14.863169147841816	1.15172	0.0	8.14	0.0	0.538	5.701	95.0	3.7872	4.0	307.0	21.0	358.77	18.35
34.9	28.9817993242391	25.089115254451315	1	26.665942431683497	30.0652294783284	0.0315	95.0	1.47	0.0	0.403	6.975	15.3	7.6534	3.0	402.0	17.0	396.9	4.56
48.5	41.19687716272003	27.456412159523946	1	30.96384760218229	42.52238170380291	0.0351	95.0	2.68	0.0	0.4161	7.853	33.2	5.118	4.0	224.0	14.7	392.78	3.81
10.8	11.830452551424834	11.333347311272291	1	9.309483733756235	11.815017198517694	12.8023	0.0	18.1	0.0	0.74	5.854	96.6	1.8956	24.0	666.0	20.2	240.52	23.79
19.4	23.5721039347644	20.450619481539036	1	20.332472524828084	23.769085048068582	0.26169	0.0	9.9	0.0	0.544	6.023	90.4	2.834	4.0	304.0	18.4	396.3	11.72
20.5	24.684537517578693	21.83260646553794	1	22.193083503158075	24.25431665732557	0.04337	21.0	5.64	0.0	0.439	6.115	63.0	6.8147	4.0	243.0	16.8	393.97	9.43
26.2	24.030660848740006	24.48969537989053	1	23.825973543681915	23.475853387403067	0.19073	22.0	5.86	0.0	0.431	6.718	17.5	7.8265	7.0	330.0	19.1	393.74	6.56
26.4	23.138980586644415	19.230586302962756	1	20.208660662637215	23.754722132090986	0.08308	0.0	2.46	0.0	0.488	5.604	89.8	2.9879	3.0	193.0	17.8	391.0	13.98
17.2	15.770748056255066	18.589153673876336	1	18.601413799297195	14.234845795281874	0.06162	0.0	4.39	0.0	0.442	5.898	52.3	8.0136	3.0	352.0	18.8	364.61	12.67
27.1	28.14853178744319	24.6270099769423	1	24.415345603728174	26.693173940189055	0.05372	0.0	13.92	0.0	0.437	6.549	51.0	5.9604	4.0	289.0	16.0	392.85	7.39
31.1	31.17422163523608	26.672539439441678	1	27.70156273037666	31.87343737877041	0.02187	60.0	2.93	0.0	0.401	6.8	9.9	6.2196	1.0	265.0	15.6	393.37	5.03
26.6	27.879799853193234	25.209253416551867	1	25.778619326200346	27.81422407347943	0.05735	0.0	4.49	0.0	0.449	6.63	56.1	4.4377	3.0	247.0	18.5	392.3	6.53
50.0	35.783127484132784	31.31189931902682	1	32.48732011844692	35.6150685559915	0.05602	0.0	2.46	0.0	0.488	7.831	53.6	3.1992	3.0	193.0	17.8	392.63	4.45
17.8	19.033231179997806	19.728180238405237	1	18.522760707200717	19.42584108907638	8.98296	0.0	18.1	1.0	0.77	6.212	97.4	2.1222	24.0	666.0	20.2	377.73	17.6
5.0	7.547816537851524	13.298281248720834	1	11.773561511888659	6.4952424371309405	38.3518	0.0	18.1	0.0	0.693	5.453	100.0	1.4896	24.0	666.0	20.2	396.9	30.59
18.9	23.6456844916408	20.540023358051577	1	20.961015303816275	24.365761275640004	0.06417	0.0	5.96	0.0	0.499	5.933	68.2	3.3603	5.0	279.0	19.2	396.9	9.68
23.1	24.7382532440295	23.050031984664166	1	23.14993348478665	24.957568601785965	0.18159	0.0	7.38	0.0	0.493	6.376	54.3	4.5404	5.0	287.0	19.6	396.9	6.87
18.8	21.754775175765097	18.888486275381556	1	17.80131977672288	20.939785278216966	0.09849	0.0	25.65	0.0	0.581	5.879	95.8	2.0063	2.0	188.0	19.1	379.38	17.58
13.1	20.349895965466708	16.27258345236951	1	14.495507565854048	20.437012099896474	8.71675	0.0	18.1	0.0	0.693	6.471	98.8	1.7257	24.0	666.0	20.2	391.98	17.12
50.0	22.3440212954527	19.588799788990787	1	19.646970312344685	25.490621731277642	4.89822	0.0	18.1	0.0	0.631	4.97	100.0	1.3325	24.0	666.0	20.2	375.52	3.26
14.0	14.556238764516664	15.990546777647777	1	14.348018023187418	13.042011930595272	0.2909	0.0	21.89	0.0	0.624	6.174	93.6	1.6119	4.0	437.0	21.2	388.08	24.16
13.8	6.912343356474061	12.772301401993873	1	11.407614985742985	6.345285092075883	11.1081	0.0	18.1	0.0	0.668	4.906	100.0	1.1742	24.0	666.0	20.2	396.9	34.77
31.6	32.64892920095656	28.93672681777084	1	29.3590584973414	32.62329135655436	0.41238	0.0	6.2	0.0	0.504	7.163	79.9	3.2157	8.0	307.0	17.4	372.08	6.36
11.9	7.864334772904307	14.118787162219123	1	13.082544722033518	9.217331507516484	20.7162	0.0	18.1	0.0	0.659	4.138	100.0	1.1781	24.0	666.0	20.2	370.22	23.34
18.3	20.72751192264652	18.975016385384798	1	17.99331305534914	20.536532609829308	0.17134	0.0	10.01	0.0	0.547	5.928	88.2	2.4631	6.0	432.0	17.8	344.91	15.76
16.7	20.99397051603551	17.164711902719514	1	15.264364421545231	20.478956714083417	4.87141	0.0	18.1	0.0	0.614	6.484	93.6	2.3053	24.0	666.0	20.2	396.21	18.68
25.0	21.63257457526303	19.475839314835	1	18.903343012911037	23.068407430181914	4.54192	0.0	18.1	0.0	0.77	6.398	88.0	2.5182	24.0	666.0	20.2	374.56	7.79
21.1	20.317567786570127	20.75865812235378	1	20.813196063690484	20.694781636185954	0.03961	0.0	5.19	0.0	0.515	6.037	34.5	5.9853	5.0	224.0	20.2	396.9	8.01
15.6	12.278268609894518	17.278169744123492	1	15.337327143128832	11.739915674285143	4.0974	0.0	19.58	0.0	0.871	5.468	100.0	1.4118	5.0	403.0	14.7	396.9	26.42
25.0	23.192177158837577	23.774419017304112	1	23.34140341664316	22.450986004907655	0.1265	25.0	5.13	0.0	0.453	6.762	43.4	7.9809	8.0	284.0	19.7	395.58	9.5
36.2	27.407454421924413	23.09754292981758	1	24.03646813151581	28.35284536376756	0.06888	0.0	2.46	0.0	0.488	6.144	62.2	2.5979	3.0	193.0	17.8	396.9	9.45
29.0	31.208629383123696	26.143559845413513	1	27.532290633458288	31.48847524620844	0.05561	70.0	2.24	0.0	0.4	7.041	10.0	7.8278	5.0	358.0	14.8	371.58	4.74
24.7	24.561613391200826	23.226254282009712	1	24.1941088356359	25.33415409300075	0.02055	85.0	0.74	0.0	0.41	6.383	35.7	9.1876	2.0	313.0	17.3	396.9	5.77
37.2	32.53526294769135	28.304581164489406	1	29.37845477363082	33.184386171064915	0.0578	0.0	2.46	0.0	0.488	6.98	58.4	2.829	3.0	193.0	17.8	396.9	5.04
31.6	32.68216020357273	24.773942471944178	1	27.05440441821828	34.029434777095446	0.01432	100.0	1.32	0.0	0.411	6.816	40.5	8.3248	5.0	256.0	15.1	392.9	3.95
10.2	6.9551450202536635	12.021676016166447	1	10.331057918790462	6.848388541426829	14.3337	0.0	18.1	0.0	0.7	4.88	100.0	1.5895	24.0	666.0	20.2	372.92	30.62
23.1	19.532727238734395	20.78960818459081	1	20.57007086881615	20.465079990565574	1.05393	0.0	8.14	0.0	0.538	5.935	29.3	4.4986	4.0	307.0	21.0	386.85	6.58
14.2	17.797948447564668	15.196027348507542	1	13.621244034057153	18.616701978108235	7.02259	0.0	18.1	0.0	0.718	6.006	95.3	1.8746	24.0	666.0	20.2	319.98	15.7
21.4	24.063777428422505	22.529432986285308	1	21.925133522178122	23.362390984258816	0.09512	0.0	12.83	0.0	0.437	6.286	45.0	4.5026	5.0	398.0	18.7	383.23	8.94
22.0	22.40415660600579	19.919522211999062	1	19.086664964003933	22.03216649774612	0.06899	0.0	25.65	0.0	0.581	5.87	69.7	2.2577	2.0	188.0	19.1	389.15	14.37
39.8	35.30005106184716	30.002218090720618	1	31.33451879775521	34.81706672150131	0.06588	0.0	2.46	0.0	0.488	7.765	83.3	2.741	3.0	193.0	17.8	395.56	7.56
23.9	27.414682189343388	24.549081615275657	1	24.84635746246677	27.462120477578097	0.04462	25.0	4.86	0.0	0.426	6.619	70.4	5.4007	4.0	281.0	19.0	395.63	7.22
18.8	21.119682411751164	18.891638385102457	1	18.038049773396157	20.873619480376043	0.12329	0.0	10.01	0.0	0.547	5.913	92.9	2.3534	6.0	432.0	17.8	394.95	16.21
31.5	32.963247554897904	30.118278496093897	1	30.58382561983662	32.67278496126268	0.51183	0.0	6.2	0.0	0.507	7.358	71.6	4.148	8.0	307.0	17.4	390.07	4.73
23.2	17.039547966226866	15.57666973395343	1	13.834002128970358	17.3383364554089	5.29305	0.0	18.1	0.0	0.7	6.051	82.5	2.1678	24.0	666.0	20.2	378.38	18.76
27.5	32.116760136227576	25.678202390439488	1	25.542050690209535	31.877622777849766	0.62356	0.0	6.2	1.0	0.507	6.879	77.7	3.2721	8.0	307.0	17.4	390.39	9.93
8.7	9.754328532873053	12.17388601966583	1	11.457734123585247	9.206089358575767	15.1772	0.0	18.1	0.0	0.74	6.152	100.0	1.9142	24.0	666.0	20.2	9.32	26.45
24.8	26.860084948597315	24.69401407933074	1	24.819603458778204	26.80003817558009	0.04297	52.5	5.32	0.0	0.405	6.565	22.9	7.3172	6.0	293.0	16.6	371.72	9.51
20.1	20.503159632413922	21.95763813998701	1	22.308988993011877	20.487607618621887	0.01965	80.0	1.76	0.0	0.385	6.23	31.5	9.0892	1.0	241.0	18.2	341.6	12.93
21.2	23.203406329958366	21.65994920105106	1	20.964945955452016	23.198249475968023	0.13158	0.0	10.01	0.0	0.547	6.176	72.5	2.7301	6.0	432.0	17.8	393.3	12.04
14.1	17.58814915971075	15.294295010444708	1	13.395365813336731	17.68984801689772	9.32909	0.0	18.1	0.0	0.713	6.185	98.7	2.2616	24.0	666.0	20.2	396.9	18.13
14.5	15.053691856235517	16.154880245637433	1	15.890272515331432	14.24581252315167	0.98843	0.0	8.14	0.0	0.538	5.813	100.0	4.0952	4.0	307.0	21.0	394.54	19.88
7.0	9.000510600919629	15.735360221888948	1	13.611371792390633	7.1533109553286	0.18337	0.0	27.74	0.0	0.609	5.414	98.3	1.7554	4.0	711.0	20.1	344.05	23.97
25.3	24.539384355873022	23.00613691936738	1	22.63663460283303	24.622825746961688	0.1415	0.0	6.91	0.0	0.448	6.169	6.6	5.7209	3.0	233.0	17.9	383.37	5.81
50.0	40.08702362327891	28.598905391581347	1	31.85925001752878	40.99519816753132	0.01381	80.0	0.46	0.0	0.422	7.875	32.0	5.6484	4.0	255.0	14.4	394.23	2.97
14.5	18.927712095502958	18.106931467656082	1	18.0593222229911	18.69060264570078	1.35472	0.0	8.14	0.0	0.538	6.072	100.0	4.175	4.0	307.0	21.0	376.73	13.04
19.4	22.893256374063004	22.378542158911984	1	22.068975585566214	23.074096671805485	0.03466	35.0	6.06	0.0	0.4379	6.031	23.3	6.6407	1.0	304.0	16.9	362.25	7.83
20.6	18.718400206324723	20.105039981520896	1	18.76077605202497	19.14055731231347	2.37857	0.0	18.1	0.0	0.583	5.871	41.9	3.724	24.0	666.0	20.2	370.73	13.34
21.8	19.69088428169846	19.47564315351913	1	19.02855974064459	20.688164599476032	0.17331	0.0	9.69	0.0	0.585	5.707	54.0	2.3817	6.0	391.0	19.2	396.9	12.01
23.8	24.76060711578565	23.287316384466422	1	23.3470193197013	24.904059994017896	0.1676	0.0	7.38	0.0	0.493	6.426	52.3	4.5404	5.0	287.0	19.6	396.9	7.2
20.5	24.921193802629908	22.098731835744296	2	22.193083503158075	24.25431665732557	0.04337	21.0	5.64	0.0	0.439	6.115	63.0	6.8147	4.0	243.0	16.8	393.97	9.43
23.0	23.81936308851698	19.834369425798748	2	19.578331108408126	23.385111531085514	5.82401	0.0	18.1	0.0	0.532	6.242	64.7	3.4242	24.0	666.0	20.2	396.9	10.74
43.5	39.203668560748696	31.421647218183082	2	32.16297719742958	39.161972246330684	0.5405	20.0	3.97	0.0	0.575	7.47	52.6	2.872	5.0	264.0	13.0	390.3	3.16
16.7	20.47431800115178	14.905828389204704	2	13.986903043507397	19.95610193293657	11.0874	0.0	18.1	0.0	0.718	6.411	100.0	1.8589	24.0	666.0	20.2	318.75	15.02
12.7	19.00051059828681	14.265153786012071	2	13.296935989529064	18.329186974297862	13.3598	0.0	18.1	0.0	0.693	5.887	94.7	1.7821	24.0	666.0	20.2	396.9	16.35
20.0	15.835881235514876	20.188529277142308	2	19.746940898237966	17.04529315194499	0.43571	0.0	10.59	1.0	0.489	5.344	100.0	3.875	4.0	277.0	18.6	396.9	23.09
20.2	16.118206824817765	18.005862926167577	2	18.029332427977135	16.457060163469095	0.80271	0.0	8.14	0.0	0.538	5.456	36.6	3.7965	4.0	307.0	21.0	288.99	11.69
20.6	27.10658858906237	22.24025047323716	2	22.184646804304997	27.60025905202106	0.04294	28.0	15.04	0.0	0.464	6.249	77.3	3.615	4.0	270.0	18.2	396.9	10.59
20.3	18.989819132288645	18.913880322022862	2	19.035529618513642	18.947298916407888	0.14103	0.0	13.92	0.0	0.437	5.79	58.0	6.32	4.0	289.0	16.0	396.9	15.84
14.4	1.674065562826101	14.993645480713743	2	13.646240698204506	3.6992720252667226	1.62864	0.0	21.89	0.0	0.624	5.019	100.0	1.4394	4.0	437.0	21.2	396.9	34.41
25.0	25.29086516176512	24.202847377786767	2	23.54271384309796	24.99568768919103	0.34109	0.0	7.38	0.0	0.493	6.415	40.1	4.7211	5.0	287.0	19.6	396.9	6.12
16.6	16.489546787403604	16.25691564449088	2	16.85784971471436	15.965312482917476	0.67191	0.0	8.14	0.0	0.538	5.813	90.3	4.682	4.0	307.0	21.0	376.88	14.81
23.4	22.526315200580108	22.751247851187493	2	21.995403031208014	23.213829779863865	0.19539	0.0	10.81	0.0	0.413	6.245	6.2	5.2873	4.0	305.0	19.2	377.17	7.54
21.4	22.943525253260145	22.3667669498393	2	21.925133522178122	23.362390984258816	0.09512	0.0	12.83	0.0	0.437	6.286	45.0	4.5026	5.0	398.0	18.7	383.23	8.94
29.1	29.769234627321058	26.420039999900155	2	26.23284975718334	30.65111723981305	0.07978	40.0	6.41	0.0	0.447	6.482	32.1	4.1403	4.0	254.0	17.6	396.9	7.19
24.6	30.35747236153327	25.794734893800946	2	25.60598833417135	29.54237678350233	0.05425	0.0	4.05	0.0	0.51	6.315	73.4	3.3175	5.0	296.0	16.6	395.6	6.29
16.4	19.13294572532213	15.596536675193331	2	14.721940064515408	19.089137974464396	4.81213	0.0	18.1	0.0	0.713	6.701	90.0	2.5975	24.0	666.0	20.2	255.23	16.42
32.2	29.704113528101583	26.920237949998654	2	28.011874358679293	31.497901624132865	0.00906	90.0	2.97	0.0	0.4	7.088	20.8	7.3073	1.0	285.0	15.3	394.72	7.85
10.5	6.884057818906655	11.813122693381352	2	11.165010240068368	6.6824135449055575	24.3938	0.0	18.1	0.0	0.7	4.652	100.0	1.4672	24.0	666.0	20.2	396.9	28.28
42.8	27.9945522185188	27.26342969037684	2	27.325873228955736	28.404339303248065	0.36894	22.0	5.86	0.0	0.431	8.259	8.4	8.9067	7.0	330.0	19.1	396.9	3.54
24.8	25.8739535770205	23.944713391602427	2	23.50632447959105	26.144104779575617	0.03659	25.0	4.86	0.0	0.426	6.302	32.2	5.4007	4.0	281.0	19.0	396.9	6.72
8.4	2.8998591688872253	12.153378964090228	2	10.968903793534146	4.777792456159297	13.6781	0.0	18.1	0.0	0.74	5.935	87.9	1.8206	24.0	666.0	20.2	68.95	34.02
20.8	21.066645501841343	17.40086214915325	2	16.866760151151936	19.233975148685158	3.67822	0.0	18.1	0.0	0.77	5.362	96.2	2.1036	24.0	666.0	20.2	380.79	10.19
23.9	24.6848400162814	23.79327640357936	2	23.506763516728558	24.637592845381654	0.05059	0.0	4.49	0.0	0.449	6.389	48.0	4.7794	3.0	247.0	18.5	396.9	9.62
15.7	13.162348969205755	17.221046502770154	2	15.899034147412006	14.74245424682907	0.38735	0.0	25.65	0.0	0.581	5.613	95.6	1.7572	2.0	188.0	19.1	359.29	27.26
23.1	14.233891264411525	16.340627298424607	2	17.017093575175608	12.944767293346736	13.5222	0.0	18.1	0.0	0.631	3.863	100.0	1.5106	24.0	666.0	20.2	131.42	13.33
27.1	26.95879933415366	24.78913574823963	2	24.415345603728174	26.693173940189055	0.05372	0.0	13.92	0.0	0.437	6.549	51.0	5.9604	4.0	289.0	16.0	392.85	7.39
24.1	23.53713369918337	23.425590988708084	2	22.555642810696565	24.453109805286314	0.07896	0.0	12.83	0.0	0.437	6.273	6.0	4.2515	5.0	398.0	18.7	394.92	6.78
